Name,CWE-ID,Description
CWE-824,Access of Uninitialized Pointer,The program accesses or uses a pointer that has not been initialized.
CWE-407,Algorithmic Complexity,"An algorithm in a product has an inefficient worst-case computational complexity that may be detrimental to system performance and can be triggered by an attacker, typically using crafted manipulations that ensure that the worst case is being reached."
CWE-774,Allocation of File Descriptors or Handles Without Limits or Throttling,"The software allocates file descriptors or handles on behalf of an actor without imposing any restrictions on how many descriptors can be allocated, in violation of the intended security policy for that actor."
CWE-88,Argument Injection or Modification,"The software does not sufficiently delimit the arguments being passed to a component in another control sphere, allowing alternate arguments to be provided, leading to potentially security-relevant changes."
CWE-405,Asymmetric Resource Consumption (Amplification),Software that does not appropriately monitor or control resource consumption can lead to adverse system performance.
CWE-287,Authentication Issues,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
CWE-119,Buffer Errors,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
CWE-417,Channel and Path Errors,Weaknesses in this category are related to improper handling of communication channels and access paths.
CWE-171,"Cleansing, Canonicalization, and Comparison Errors",Weaknesses in this category are related to improper handling of data within protection mechanisms that attempt to perform neutralization for untrusted data.
CWE-17,Code,"Weaknesses in this category are typically introduced during code development, including specification, design, and implementation."
CWE-94,Code Injection,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
CWE-77,Command Injection,"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
CWE-16,Configuration,Weaknesses in this category are typically introduced during the configuration of the software.
CWE-216,Containment Errors (Container Errors),"This tries to cover various problems in which improper data are included within a ""container."""
CWE-255,Credentials Management,Weaknesses in this category are related to the management of credentials.
CWE-352,Cross-Site Request Forgery (CSRF),"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."
CWE-79,Cross-Site Scripting (XSS),The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
CWE-310,Cryptographic Issues,Weaknesses in this category are related to the use of cryptography.
CWE-19,Data Handling,Weaknesses in this category are typically found in functionality that processes data.
CWE-502,Deserialization of Untrusted Data,The application deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
CWE-369,Divide By Zero,The product divides a value by zero.
CWE-415,Double Free,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations."
CWE-172,Encoding Error,"The software does not properly encode or decode the data, resulting in unexpected values."
CWE-2,Environment,Weaknesses in this category are typically introduced during unexpected environmental conditions.
CWE-388,Error Handling,This category includes weaknesses that occur when an application does not properly handle errors that occur during processing.
